店名,電話,住所,ジャンル
ツルハドラッグ 弘前神田店,青森県弘前市大字神田５丁目６２,0172-31-0268,ドラッグストア
ドラッグ・ユー南大町店,青森県弘前市南大町1-10-1,0172-38-8731,ドラッグストア
ドラッグ・ユー南大町店,青森県弘前市大字南大町１丁目１０１,0172-38-8731,ドラッグストア
ツルハドラッグ城東店,青森県弘前市田園2丁目3-1,0172-29-1256,ドラッグストア
ツルハドラッグ 城東店,青森県弘前市大字田園２丁目３３,0172-29-1256,ドラッグストア
ツルハドラッグ 弘前西城北店,青森県弘前市大字西城北１丁目２４,0172-40-0737,ドラッグストア
ツルハドラッグ弘前西城北店,青森県弘前市大字西城北1丁目2-4,0172-40-0737,ドラッグストア
ハッピー・ドラッグ 三戸店,青森県三戸郡三戸町大字同心町字古間木平１１,0179-23-0131,ドラッグストア
ハッピー・ドラッグ青森三戸店,青森県三戸郡三戸町大字同心町字古間木平1-1,0179-23-0131,ドラッグストア
ハッピー・ドラッグ八戸下長店,青森県八戸市下長3丁目13-7,0178-32-7883,ドラッグストア
ハッピー・ドラッグ 下長店,青森県八戸市下長３丁目１３８,0178-32-7883,ドラッグストア
ハッピー・ドラッグ青森佃店,青森県青森市中佃3丁目7-13,017-765-6780,ドラッグストア
ハッピー・ドラッグ 佃店,青森県青森市中佃３丁目７１３,017-765-6780,ドラッグストア
薬王堂十和田稲吉店,青森県十和田市東十四番町43-8-2,0176-58-7718,ドラッグストア
いわや薬品 エルムの街店,青森県五所川原市大字唐笠柳字藤巻５１７,0173-33-6742,ドラッグストア
ハッピードラッグ類家中央店,青森県八戸市類家４丁目４１５,0178-72-1175,ドラッグストア
ハッピー・ドラッグ八戸類家中央店,青森県八戸市類家4丁目41-5,0178-72-1175,ドラッグストア
メガ 観光通店,青森県青森市青葉３丁目６６,017-762-1616,ドラッグストア
ツルハドラッグ 青森ガーラ店,青森県青森市三好２丁目３１６,017-718-0103,ドラッグストア
ツルハドラッグ青森ガーラ店,青森県青森市三好2丁目3-16,017-718-0103,ドラッグストア
スーパードラッグアサヒ青森佃店,青森県青森市佃３丁目５３３,017-743-7431,ドラッグストア
スーパードラッグアサヒ青森佃店,青森県青森市佃3丁目5-33,017-743-7431,ドラッグストア
スーパードラッグアサヒむつ店,青森県むつ市中央１丁目１４９,0175-28-2340,ドラッグストア
スーパードラッグアサヒむつ店,青森県むつ市中央1丁目149,0175-28-2340,ドラッグストア
小田切薬店,青森県平川市南田中村内９８２,0172-57-2118,ドラッグストア
ドラッグ・ユー東青森店,青森県青森市田屋敷字増田16-2,017-765-7106,ドラッグストア
ツルハドラッグ 十和田店,青森県十和田市西十二番町１５２６,0176-21-3268,ドラッグストア
さわい薬店,青森県上北郡東北町字上笹橋２１４８,0175-63-3526,ドラッグストア
さわい化粧品店,青森県上北郡東北町字上笹橋２１４８,0175-63-3526,ドラッグストア
ツルハドラッグ八戸江陽店,青森県八戸市江陽2丁目13-40,0178-72-1288,ドラッグストア
薬王堂五所川原石岡店,青森県五所川原市大字唐笠柳字藤巻592-2,0173-26-5799,ドラッグストア
薬王堂 五所川原石岡店,青森県五所川原市大字唐笠柳字藤巻５９２２,0173-26-5799,ドラッグストア
安田薬店,青森県東津軽郡外ヶ浜町字蟹田１１７,0174-22-2022,ドラッグストア
ハッピー・ドラッグ十和田元町西店,青森県十和田市元町西4丁目3-30,0176-58-0205,ドラッグストア
大平薬品,青森県三沢市松園町２丁目１２２,0176-53-1576,ドラッグストア
川守田薬舗,青森県三戸郡南部町大字剣吉字荒町６９,0178-75-0104,ドラッグストア
能登薬店,青森県上北郡六ヶ所村大字泊字村ノ内４１,0175-77-3112,ドラッグストア
トマト薬店,青森県八戸市大字湊町字新井田道８５,0178-31-6060,ドラッグストア
メガ柏店,青森県つがる市柏上古川八重崎７６,0173-27-5050,ドラッグストア
薬王堂五戸下中崎店,青森県三戸郡五戸町字下中崎9-2,0178-32-7871,ドラッグストア
ツルハドラッグアクロス五所川原店,青森県五所川原市唐笠柳藤巻626,0173-38-3836,ドラッグストア
ツルハドラッグアクロス五所川原店,青森県五所川原市大字唐笠柳字藤巻６２６,0173-38-3836,ドラッグストア
ハッピー・ドラッグ五所川原金木店,青森県五所川原市金木町沢部454-8,0173-54-1123,ドラッグストア
ハッピー・ドラッグ 金木店,青森県五所川原市金木町沢部４５４８,0173-54-1123,ドラッグストア
山谷薬店,青森県黒石市大字温湯字鶴泉５３,0172-54-8347,ドラッグストア
薬王堂八戸長根店,青森県八戸市長根3丁目11-1,0178-43-1988,ドラッグストア
株式会社薬王堂 八戸長根店,青森県八戸市長根３丁目１１１,0178-43-1988,ドラッグストア
株式会社薬王堂 三沢南山店,青森県三沢市南山３丁目１７２１０,0176-51-4417,ドラッグストア
薬王堂三沢南山店,青森県三沢市三沢南山3丁目172-10,0176-51-4417,ドラッグストア
株式会社薬王堂 つがる木造店,青森県つがる市木造浮巣５６１,0173-23-5685,ドラッグストア
薬王堂つがる木造店,青森県つがる市木造浮巣56-1,0173-23-5685,ドラッグストア
ハッピー・ドラッグ むつ金谷店,青森県むつ市金谷２丁目３０３１,0175-33-2558,ドラッグストア
ハッピー・ドラッグむつ金谷店,青森県むつ市金谷2丁目22-1,0175-33-2558,ドラッグストア
サンドラッグ十和田西店,青森県十和田市西二十三番町29-20,0176-21-1161,ドラッグストア
マツモトキヨシ 八戸石堂店,青森県八戸市石堂４丁目１５１２,0178-21-3121,ドラッグストア
マツモトキヨシ八戸石堂店,青森県八戸市石堂4丁目15-12,0178-21-3121,ドラッグストア
ツルハドラッグ五所川原松島店,青森県五所川原市大字漆川字袖掛158-18,0173-26-6776,ドラッグストア
ツルハドラッグ 五所川原松島店,青森県五所川原市大字漆川字袖掛１５８１８,0173-26-6776,ドラッグストア
薬王堂八戸南郷店,青森県八戸市南郷市野沢字黒坂11-17,0178-38-6455,ドラッグストア
ハッピー・ドラッグ 湊高台中央店,青森県八戸市湊高台４丁目１８１３,0178-20-0520,ドラッグストア
ハッピー・ドラッグ八戸湊高台中央店,青森県八戸市湊高台4丁目18-13,0178-20-0520,ドラッグストア
みなみ薬店,青森県十和田市西五番町６１,0176-22-3474,ドラッグストア
ツルハドラッグ 河原木店,青森県八戸市下長４丁目１９,0178-28-1255,ドラッグストア
ツルハドラッグ河原木店,青森県八戸市下長4丁目1-9,0178-28-1255,ドラッグストア
薬王堂八戸城下店,青森県八戸市沼館1丁目1-18,0178-20-7920,ドラッグストア
ツルハドラッグ本八戸駅前店,青森県八戸市城下2丁目1-12,0178-71-3268,ドラッグストア
ツルハドラッグ 本八戸駅前店,青森県八戸市城下２丁目１１２,0178-71-3268,ドラッグストア
宮田薬店,青森県東津軽郡外ヶ浜町字平舘後田２８２,0174-25-2326,ドラッグストア
薬王堂五所川原稲実店,青森県五所川原市大字稲実字米崎22-3,0173-23-5281,ドラッグストア
株式会社薬王堂 五所川原稲実店,青森県五所川原市大字稲実字米崎２２３,0173-23-5281,ドラッグストア
薬王堂 むつ下北町店,青森県むつ市下北町２３４,0175-31-0765,ドラッグストア
薬王堂むつ下北町店,青森県むつ市下北町2-34,0175-31-0765,ドラッグストア
クスリのむらやま,青森県八戸市白銀１丁目９３,0178-33-1745,ドラッグストア
薬王堂青森常盤店,青森県南津軽郡藤崎町榊字亀田10-24,0172-26-5431,ドラッグストア
株式会社薬王堂 青森常盤店,青森県南津軽郡藤崎町大字榊字亀田１０２４,0172-26-5431,ドラッグストア
ハッピー・ドラッグ大鰐店,青森県南津軽郡大鰐町大字大鰐字前田５１,0172-49-1040,ドラッグストア
ハッピー・ドラッグ青森大鰐店,青森県南津軽郡大鰐町大字大鰐字前田5-1,0172-49-1040,ドラッグストア
ハッピー・ドラッグ十和田元町東店,青森県十和田市元町東1丁目13-16,0176-25-7557,ドラッグストア
ハッピードラッグ十和田店,青森県十和田市元町東１丁目１３１６,0176-25-7557,ドラッグストア
ドラッグ・ユー 小中野店,青森県八戸市小中野３丁目２４７２,0178-22-3386,ドラッグストア
ハッピー・ドラッグ青森浜館店,青森県青森市浜館6-4-21,017-752-6171,ドラッグストア
たてさか薬品,青森県十和田市西六番町３２９,0176-23-0562,ドラッグストア
アルソア化粧品たてさか店,青森県十和田市西六番町３２９,0176-23-0562,ドラッグストア
薬王堂三戸川守田店,青森県三戸郡三戸町大字川守田字沖中61-1,0179-23-0181,ドラッグストア
薬王堂 三戸川守田店,青森県三戸郡三戸町大字川守田字沖中６１１,0179-23-0181,ドラッグストア
薬王堂十和田元町店,青森県十和田市元町西5丁目1-7,0176-25-6370,ドラッグストア
薬王堂十和田元町店,青森県十和田市元町西５丁目１７,0176-25-6370,ドラッグストア
横山薬店,青森県青森市旭町１丁目１２９,017-776-5848,ドラッグストア
ハッピードラッグ浪館店,青森県青森市浪館前田４丁目６１,017-761-7141,ドラッグストア
ハッピー・ドラッグ青森浪館店,青森県青森市浪館前田4丁目6-1,017-761-7141,ドラッグストア
マツモトキヨシシンフォニープラザ八戸沼館店,青森県八戸市沼館4丁目4-8,0178-73-5150,ドラッグストア
マツモトキヨシシンフォニープラザ 八戸沼館店,青森県八戸市沼館４丁目４８,0178-73-5150,ドラッグストア
ツルハドラッグ 青森新田店,青森県青森市新田２丁目２１６,017-752-8170,ドラッグストア
ツルハドラッグ青森新田店,青森県青森市新田1丁目1-10,017-761-7190,ドラッグストア
サンドラッグ八戸店,青森県八戸市北白山台5丁目1-7,0178-70-2285,ドラッグストア
スーパードラッグアサヒ青森中央店,青森県青森市東大野２丁目１１３,017-762-2227,ドラッグストア
スーパードラッグアサヒ青森中央店,青森県青森市東大野2丁目11-3,017-762-2227,ドラッグストア
薬王堂 青森・三戸店,青森県三戸郡三戸町大字同心町字金堀２６,0179-22-1422,ドラッグストア
薬王堂青森三戸店,青森県三戸郡三戸町大字同心町字金堀2-6,0179-22-1422,ドラッグストア
ドラッグ・ユー 階上店,青森県三戸郡階上町大字道仏字耳ケ吠４３３６９,0178-88-2006,ドラッグストア
ツルハドラッグ八戸小中野店,青森県八戸市小中野4丁目5-18,0178-71-1268,ドラッグストア
ツルハドラッグ 八戸小中野店,青森県八戸市小中野４丁目５１８,0178-71-1268,ドラッグストア
ツルハドラッグ 浪岡店,青森県青森市浪岡大字杉沢字井ノ下１４４１,0172-69-1277,ドラッグストア
ツルハドラッグ浪岡店,青森県青森市浪岡杉沢字井ノ下126-2,0172-69-1277,ドラッグストア
川内薬店,青森県青森市大字宮田字玉水６３７,017-726-7932,ドラッグストア
薬王堂 おいらせ百石店,青森県上北郡おいらせ町獺野５０１,0178-38-1431,ドラッグストア
薬王堂おいらせ百石店,青森県上北郡おいらせ町獺野50-1,0178-38-1431,ドラッグストア
メガ 大野店,青森県青森市大字大野字前田７３６,017-762-3515,ドラッグストア
ハッピー・ドラッグ八戸桔梗野店,青森県八戸市松ケ丘5-1,0178-51-6830,ドラッグストア
調剤薬局ツルハドラッグ十和田店,青森県十和田市西十二番町15-26,0176-21-3268,ドラッグストア
ツルハドラッグ 八戸八太郎店,青森県八戸市八太郎２丁目２２１,0178-21-6268,ドラッグストア
ツルハドラッグ八戸八太郎店,青森県八戸市八太郎2丁目22-1,0178-21-6268,ドラッグストア
ハッピー・ドラッグ青森幸畑店,青森県青森市幸畑5丁目1-3,017-762-0662,ドラッグストア
調剤薬局ツルハドラッグ黒石店,青森県黒石市錦町8-6,0172-59-0327,ドラッグストア
ハッピー・ドラッグ八戸湊高台店,青森県八戸市湊高台5丁目1-18,0178-32-1055,ドラッグストア
ハッピードラッグ湊高台店,青森県八戸市湊高台５丁目１１８,0178-32-1055,ドラッグストア
ハッピー・ドラッグ青森久須志店,青森県青森市久須志3丁目18-7,017-762-7088,ドラッグストア
ハッピー・ドラッグ 久須志店,青森県青森市久須志３丁目１８６,017-762-7088,ドラッグストア
ツルハドラッグ福地南部店,青森県三戸郡南部町大字苫米地字白山堂1-2,0178-60-1268,ドラッグストア
ツルハドラッグ 福地南部店,青森県三戸郡南部町大字苫米地字白山堂１２,0178-60-1268,ドラッグストア
ハッピー・ドラッグ八戸湊中道店,青森県八戸市大字湊町中道55,0178-38-5227,ドラッグストア
ツルハドラッグ八戸田向店,青森県八戸市田向５丁目２９１,0178-71-8266,ドラッグストア
ツルハドラッグ八戸田向店,青森県八戸市田向5丁目29-1,0178-71-8266,ドラッグストア
薬王堂十和田三本木店,青森県十和田市大字三本木字本金崎229-2,0176-27-0131,ドラッグストア
薬王堂青森名川店,青森県三戸郡南部町大字斗賀字沼田68,0178-32-0655,ドラッグストア
スーパードラッグアサヒ柏店,青森県五所川原市小曲字枝村42-1,0173-38-1530,ドラッグストア
カツラ薬店,青森県青森市浪館前田２丁目３２５３,017-782-3329,ドラッグストア
スーパーシティアサヒビードルプラザ店,青森県三沢市松園町3丁目10-1,0176-52-5025,ドラッグストア
ハッピー・ドラッグ 平賀店,青森県平川市本町平野１２９,0172-88-8755,ドラッグストア
ハッピー・ドラッグ平川平賀店,青森県平川市本町平野12-9,0172-88-8755,ドラッグストア
ツルハドラッグみなと店,青森県八戸市湊町新井田道12-1,0178-33-6565,ドラッグストア
ツルハドラッグみなと店,青森県八戸市大字湊町字新井田道１２１,0178-33-6565,ドラッグストア
薬王堂五所川原新宮店,青森県五所川原市字幾世森175-1,0173-33-0890,ドラッグストア
株式会社薬王堂 五所川原新宮店,青森県五所川原市字幾世森１７５１,0173-33-0890,ドラッグストア
ハッピー・ドラッグ八戸湊高台店,青森県八戸市湊高台5丁目1-18,0178-32-1055,ドラッグストア
ハッピードラッグ湊高台店,青森県八戸市湊高台５丁目１１８,0178-32-1055,ドラッグストア
ハッピー・ドラッグ青森久須志店,青森県青森市久須志3丁目18-7,017-762-7088,ドラッグストア
ハッピー・ドラッグ 久須志店,青森県青森市久須志３丁目１８６,017-762-7088,ドラッグストア
ツルハドラッグ福地南部店,青森県三戸郡南部町大字苫米地字白山堂1-2,0178-60-1268,ドラッグストア
ツルハドラッグ 福地南部店,青森県三戸郡南部町大字苫米地字白山堂１２,0178-60-1268,ドラッグストア
ハッピー・ドラッグ八戸湊中道店,青森県八戸市大字湊町中道55,0178-38-5227,ドラッグストア
ツルハドラッグ八戸田向店,青森県八戸市田向５丁目２９１,0178-71-8266,ドラッグストア
ツルハドラッグ八戸田向店,青森県八戸市田向5丁目29-1,0178-71-8266,ドラッグストア
薬王堂十和田三本木店,青森県十和田市大字三本木字本金崎229-2,0176-27-0131,ドラッグストア
薬王堂青森名川店,青森県三戸郡南部町大字斗賀字沼田68,0178-32-0655,ドラッグストア
スーパードラッグアサヒ柏店,青森県五所川原市小曲字枝村42-1,0173-38-1530,ドラッグストア
カツラ薬店,青森県青森市浪館前田２丁目３２５３,017-782-3329,ドラッグストア
スーパーシティアサヒビードルプラザ店,青森県三沢市松園町3丁目10-1,0176-52-5025,ドラッグストア
ハッピー・ドラッグ 平賀店,青森県平川市本町平野１２９,0172-88-8755,ドラッグストア
ハッピー・ドラッグ平川平賀店,青森県平川市本町平野12-9,0172-88-8755,ドラッグストア
薬王堂青森乙供店,青森県上北郡東北町字上笹橋37-8,0175-63-3552,ドラッグストア
薬王堂 青森・乙供店,青森県上北郡東北町字上笹橋３７８,0175-63-3552,ドラッグストア
ハッピー・ドラッグ 八戸旭ヶ丘店,青森県八戸市大字新井田字小久保尻１６１２７,0178-38-5036,ドラッグストア
ハッピー・ドラッグ八戸旭ヶ丘店,青森県八戸市新井田字小久保尻16-127,0178-38-5036,ドラッグストア
ハッピードラッグ 岡三沢店,青森県三沢市下久保１丁目１３,0176-27-6625,ドラッグストア
ハッピー・ドラッグ三沢岡三沢店,青森県三沢市下久保1丁目1-3,0176-27-6625,ドラッグストア
ハッピー・ドラッグ 鶴田店,青森県北津軽郡鶴田町大字鶴田字沖津４７１,0173-26-5131,ドラッグストア
ハッピー・ドラッグ青森鶴田店,青森県北津軽郡鶴田町鶴田沖津47-1,0173-26-5131,ドラッグストア
ハッピー・ドラッグ五所川原松島店,青森県五所川原市一ツ谷548-1,0173-23-5886,ドラッグストア
ハッピー・ドラッグ 五所川原松島店,青森県五所川原市字一ツ谷５４８１,0173-23-5886,ドラッグストア
ハッピードラッグ大町店,青森県八戸市小中野４丁目１４７,0178-71-2280,ドラッグストア
ハッピー・ドラッグ八戸小中野店,青森県八戸市小中野4丁目1-47,0178-71-2280,ドラッグストア
ハッピードラッグのぎわ店,青森県青森市大字羽白字沢田３０６１,017-763-2250,ドラッグストア
ハッピー・ドラッグ青森のぎわ店,青森県青森市羽白字沢田306-1,017-763-2250,ドラッグストア
薬マツモトキヨシ ラピア八戸店,青森県八戸市江陽２丁目１４１,0178-71-2116,ドラッグストア
マツモトキヨシラピア八戸店,青森県八戸市江陽2丁目14-1,0178-71-2116,ドラッグストア
ハッピー・ドラッグ三沢堀口店,青森県三沢市堀口3丁目1-5,0176-53-7742,ドラッグストア
ハッピードラッグ三沢店,青森県三沢市堀口３丁目１５,0176-53-7742,ドラッグストア
ハッピー・ドラッグ 大畑店,青森県むつ市大畑町中島３９１６,0175-45-3077,ドラッグストア
ハッピー・ドラッグむつ大畑店,青森県むつ市大畑町中島39-26,0175-45-3077,ドラッグストア
ハッピー・ドラッグ青森板柳店,青森県北津軽郡板柳町福野田実田23-1,0172-55-9123,ドラッグストア
ハッピー・ドラッグ 板柳店,青森県北津軽郡板柳町大字福野田字実田２３１,0172-55-9123,ドラッグストア
第一中央薬店,青森県上北郡七戸町字倉越１３２,0176-62-2033,ドラッグストア
薬王堂青森上北店,青森県上北郡東北町旭南2丁目324-1,0176-56-4388,ドラッグストア
薬王堂 青森・上北店,青森県上北郡東北町旭南２丁目３２４１,0176-56-4388,ドラッグストア
ハッピー・ドラッグ とまぶモール店,青森県むつ市金曲１丁目２４,0175-34-9160,ドラッグストア
ハッピー・ドラッグむつとまぶモール店,青森県むつ市金曲1丁目2-4,0175-34-9160,ドラッグストア
ハッピー・ドラッグ青森油川店,青森県青森市油川字浪返102-1,017-763-0107,ドラッグストア
株式会社薬王堂 八戸田向店,青森県八戸市田向２丁目１２３,0178-45-8900,ドラッグストア
薬王堂八戸田向店,青森県八戸市田向2丁目1-23,0178-45-8900,ドラッグストア
渡部薬店,青森県三戸郡田子町大字田子字田子１８,0179-32-2063,ドラッグストア
薬王堂青森中泊店,青森県北津軽郡中泊町大字中里字紅葉坂168-5,0173-23-0212,ドラッグストア
株式会社薬王堂 青森中泊店,青森県北津軽郡中泊町大字中里字紅葉坂１６８５,0173-23-0212,ドラッグストア
藤本薬店,青森県黒石市大字山形町１０１,0172-52-2772,ドラッグストア
薬王堂青森六戸店,青森県上北郡六戸町大字犬落瀬前谷地23,0176-55-3371,ドラッグストア
株式会社薬王堂 青森六戸店,青森県上北郡六戸町大字犬落瀬字前谷地２３,0176-55-3371,ドラッグストア
ハッピー・ドラッグ るいけ店,青森県八戸市南類家３丁目２１４,0178-38-7211,ドラッグストア
ハッピー・ドラッグ八戸類家店,青森県八戸市南類家3丁目2-14,0178-47-4040,ドラッグストア
株式会社薬王堂 八戸河原木店,青森県八戸市大字河原木字二階堀５１,0178-20-8588,ドラッグストア
薬王堂八戸河原木店,青森県八戸市大字河原木字二階堀5-1,0178-20-8588,ドラッグストア
ツルハドラッグ八戸諏訪店,青森県八戸市諏訪3丁目3-20,0178-71-4268,ドラッグストア
ツルハドラッグ 八戸諏訪店,青森県八戸市諏訪３丁目３１７,0178-71-4268,ドラッグストア
ツルハドラッグ 五所川原広田店,青森県五所川原市大字広田字柳沼４１２,0173-26-0980,ドラッグストア
ツルハドラッグ五所川原広田店,青森県五所川原市大字広田字柳沼41-2,0173-26-0980,ドラッグストア
薬王堂青森浪岡店,青森県青森市浪岡大字浪岡字若松113-1,0172-40-2160,ドラッグストア
株式会社薬王堂 青森浪岡店,青森県青森市浪岡大字浪岡字若松１１３１,0172-40-2160,ドラッグストア
ツルハドラッグ つがる柏店,青森県つがる市柏広須志野田３９４,0173-23-0602,ドラッグストア
ツルハドラッグつがる柏店,青森県つがる市柏広須志野田166-1,0173-23-0602,ドラッグストア
ツルハドラッグ七戸店,青森県上北郡七戸町字笊田川久保32-2,0176-27-1572,ドラッグストア
ツルハドラッグ 七戸店,青森県上北郡七戸町字笊田川久保２０５,0176-27-1572,ドラッグストア
くすりのキープス平賀店,青森県平川市柏木町藤山25-9,0172-88-6982,ドラッグストア
薬王堂青森常盤店,青森県南津軽郡藤崎町榊字亀田10-24,0172-26-5431,ドラッグストア
株式会社薬王堂 青森常盤店,青森県南津軽郡藤崎町大字榊字亀田１０２４,0172-26-5431,ドラッグストア
ハッピー・ドラッグ大鰐店,青森県南津軽郡大鰐町大字大鰐字前田５１,0172-49-1040,ドラッグストア
